Neighbourhood,Neighbourhood Id,Catholic School Graduation,Catholic School Literacy,Catholic University Applicants,Early Development Instrument,Library Activity,Library Open Hours,Library Program Attendance,Library Programs,Library Space
Milliken,130,0.823008,82.692306,52.666667,100,3,5,2,3,3
Rouge,131,0.858433,79.629631,45.127117,100,2,4,2,2,2
Malvern,132,0.807162,73.198196,32.8125,100,6,9,7,9,8
Centennial Scarborough,133,0.932203,85.897438,53.164558,100,1,4,1,2,2
Highland Creek,134,0.954198,84.033615,53.374233,100,2,4,2,2,2
Morningside,135,0.875,81.25,39.215686,100,5,8,6,6,6
West Hill,136,0.86503,80.213905,38.425926,50,2,4,2,2,3
Woburn,137,0.829999,78.787879,37.049179,50,5,7,6,6,5
Eglinton East,138,0.833333,72.727272,42.424243,100,2,4,2,3,2
Scarborough Village,139,0.788461,76.190475,32.258064,50,4,7,5,6,5
Guildwood,140,0.894736,93.333335,42.5,100,1,4,2,2,2
